id,time_mandante,gols_mandante,gols_visitante,time_visitante,rodada,campeonato,data,pontos_mandante,pontos_visitante,detalhes
178,Botafogo,2,1,Ponte Preta,16,2002,Oct 2,3,0," [Ademílson 63', Galeano 78'p; Elivélton 83'p]"
179,Gama,1,1,Internacional,16,2002,Oct 2,1,1, [Dimba 51'; Cleiton Xavier 52']
180,São Caetano,1,0,Coritiba,16,2002,Oct 2,3,0, [Robert 73']
181,Palmeiras,1,1,São Paulo,16,2002,Oct 2,1,1, [Darío Muñoz 37'; Luís Fabiano 40']
182,Vitória,2,1,Fluminense,16,2002,Oct 2,3,0," [Aristizábal 49', Paulo Rodrigues 62'; Beto 56']"
183,Juventude,2,1,Goiás,16,2002,Oct 2,3,0," [Índio 23', Leonardo Manzi 27'; Jefferson Feijão 46']"
184,Flamengo,1,1,Bahia,16,2002,Oct 2,1,1, [Iranildo 1'p; Nei Fabiano 82']
185,Paraná,1,1,Cruzeiro,16,2002,Oct 3,1,1, [Emerson 20'; Paulo Miranda 75']
186,Corinthians,2,4,Santos,16,2002,Oct 3,0,3," [Fabinho 56', Leandro Azevedo 80'; Alberto 18', 31', Elano 47', 53']"
187,Atlético-MG,0,2,Figueirense,16,2002,Oct 3,0,3," [Lino 15', 90'p]"
188,Botafogo,1,1,São Caetano,17,2002,Oct 5,1,1, [Ademílson 32'; Robert 71']
189,Flamengo,2,3,São Paulo,17,2002,Oct 5,0,3," [Liédson 59', 89'; Reinaldo Oliveira 25', 57', Kaká 81']"
190,Gama,2,0,Paysandu,17,2002,Oct 5,3,0," [Rafael 8', Dimba 64']"
191,Palmeiras,2,1,Portuguesa,17,2002,Oct 5,3,0," [Juninho 11', Alexandre 67'; Alex Alves 20']"
192,Goiás,0,0,Atlético-PR,17,2002,Oct 5,1,1,NA
193,Guarani,1,2,Vasco da Gama,17,2002,Oct 5,0,3," [Léo 33'; Rodrigo Souto 22', Ramón Menezes 35']"
194,Fluminense,3,2,Paraná,18,2002,Oct 8,3,0," [Romário 9', 21', Magno Alves 81'; Márcio 45', Alexandre 73']"
195,São Paulo,3,1,Coritiba,18,2002,Oct 8,3,0," [Reinaldo Oliveira 7', 68', Jorginho Paulista 83'; Willians 89']"
196,Guarani,3,1,Gama,18,2002,Oct 8,3,0," [Sérgio Alves 3', 66', Léo 87'; Dimba 41']"
197,Grêmio,1,1,Botafogo,18,2002,Oct 9,1,1, [Roberto 59'; Odvan 77']
198,Flamengo,2,0,São Caetano,18,2002,Oct 9,3,0," [Liédson 3', 75']"
199,Corinthians,2,2,Figueirense,18,2002,Oct 9,1,1," [Rogério Régis 7', Guilherme 81'; Mendes 60', Lino 82'p]"
200,Santos,3,2,Atlético-MG,18,2002,Oct 9,3,0," [Alberto 27', Alex Rodrigo 84', Robinho 88'; Souza 55', Paulinho 90+2']"
201,Atlético-PR,0,1,Ponte Preta,18,2002,Oct 9,0,3, [Macedo 81']
202,Paysandu,3,2,Bahia,18,2002,Oct 9,3,0," [Souza 4', 76', Jóbson 29'; Nonato 14', Jair 18']"
203,Vitória,4,2,Cruzeiro,18,2002,Oct 9,3,0," [Aristizábal 42'p, 76', 85', Élson 50'; Maicon 16', Fábio Júnior 30']"
204,Juventude,1,1,Portuguesa,18,2002,Oct 9,1,1, [Edmílson 83'; Alex Alves 54']
205,Goiás,4,2,Palmeiras,18,2002,Oct 9,3,0," [Fabão 23', Araújo 30', 57', Evair 34'; Javier Arce 50'p, 73'p]"
206,Palmeiras,2,2,Juventude,19,2002,Oct 12,1,1," [Javier Arce 54'p, Rubens Cardoso 90+1'; Leonardo Manzi 83', 85']"
207,Figueirense,0,3,São Paulo,19,2002,Oct 12,0,3," [Kaká 34', 77', Luís Fabiano 86']"
208,São Caetano,2,0,Vasco da Gama,19,2002,Oct 12,3,0," [Marco Aurélio 27', Adhemar 48']"
209,Paraná,1,0,Vitória,19,2002,Oct 12,3,0, [Márcio 65']
210,Botafogo,1,0,Paysandu,19,2002,Oct 13,3,0, [Rodrigão 19']
211,Portuguesa,1,1,Atlético-PR,19,2002,Oct 13,1,1, [Édson Araújo 90'p; Dagoberto 60']
212,Ponte Preta,3,2,Goiás,19,2002,Oct 13,3,0," [Caíco 14', Alex Oliveira 31', Fabrício Carvalho 39'; Araújo 22', André Cruz 28']"
213,Cruzeiro,1,4,Santos,19,2002,Oct 13,0,3," [Elano 4', 53', André Luiz 18', Robinho 62'; Joãozinho 86']"
214,Internacional,2,2,Fluminense,19,2002,Oct 13,1,1," [Daniel Carvalho 53', Mahicon Librelato 86'; Magno Alves 32', Romário 78']"
215,Coritiba,0,1,Guarani,19,2002,Oct 13,0,3, [Luís Fernando Martinez 51']
216,Gama,1,3,Corinthians,19,2002,Oct 13,0,3," [Lindomar 5'p; Deivid 32', Renato 54', Gil 64']"
217,Bahia,5,3,Atlético-MG,19,2002,Oct 13,3,0," [Nonato 11', Gutiérrez 14'og, Valdomiro 55', Robgol 79', Geraldo 89'; Marques 9', Mancini 19', Michel 45+1']"
218,Paysandu,3,1,Paraná,20,2002,Oct 16,3,0," [Balão 65', 69', 84'; Waldir 90']"
219,Vasco da Gama,2,1,Flamengo,20,2002,Oct 16,3,0," [Ramón Menezes 31', 84'; Iranildo 40'p]"
220,Coritiba,0,0,Grêmio,20,2002,Oct 16,1,1,NA
221,Internacional,1,2,Goiás,20,2002,Oct 16,0,3," [Mahicon Librelato 83'; Márcio 31'og, Evair 47']"
222,Figueirense,3,2,Atlético-PR,20,2002,Oct 16,3,0," [Thiago Gentil 23', 64', Paulo Sérgio 50'; Adriano Vieira 31', Kléberson 55']"
223,Gama,1,0,Juventude,20,2002,Oct 16,3,0, [Dimba 71']
224,São Paulo,3,2,Santos,20,2002,Oct 16,3,0," [Luís Fabiano 56'p, Reinaldo Oliveira 58', Ricardinho 89'p; Robert 70', Diego Ribas 83'p]"
225,Bahia,2,1,Ponte Preta,20,2002,Oct 16,3,0," [Robgol 40'p, Nonato 65'; Valdir Lucas 63']"
226,Palmeiras,4,2,Guarani,20,2002,Oct 17,3,0," [Juninho 4', Javier Arce 28'p, Itamar 38', César 41'; Sérgio Alves 50'p, Adriano 53']"
227,Botafogo,1,4,Vitória,20,2002,Oct 17,0,3," [Lúcio 51'; Allann Delon 4', 40', Aristizábal 13', 67']"
228,Atlético-MG,2,1,São Caetano,20,2002,Oct 17,3,0," [Paulinho 27', Michel 40'; Magrão 81'p]"
229,Santos,1,2,Portuguesa,21,2002,Oct 19,0,3," [Diego Ribas 10'; César 32', Danilo 67']"
230,Vasco da Gama,1,0,Paraná,21,2002,Oct 19,3,0, [Ramón Menezes 43']
231,Grêmio,3,1,Gama,21,2002,Oct 19,3,0," [Rodrigo Fabri 73', Anderson Lima 76'p, 90'p; Dimba 13']"
232,Corinthians,1,0,Ponte Preta,21,2002,Oct 20,3,0, [Marcinho 74']
233,Fluminense,1,0,Bahia,21,2002,Oct 20,3,0, [Romário 60']
234,Cruzeiro,1,2,Atlético-MG,21,2002,Oct 20,0,3," [Luisão 81'; Souza 56', Paulinho 65']"
235,Guarani,1,2,São Paulo,21,2002,Oct 20,0,3," [Luís Fernando Martinez 40'; Ricardinho 24', Luís Fabiano 38'p]"
236,Vitória,1,2,Flamengo,21,2002,Oct 20,0,3," [Allann Delon 79'; Zé Carlos 14', Liédson 58']"
237,São Caetano,2,1,Paysandu,21,2002,Oct 20,3,0," [Magrão 74'p, Adhemar 85'; Balão 79']"
238,Goiás,1,0,Figueirense,21,2002,Oct 20,3,0, [Josué 80']
239,Atlético-PR,2,3,Internacional,21,2002,Oct 20,0,3," [Alex Mineiro 23', Fabiano 85'; Mahicon Librelato 22', Luís Alberto 47', 73']"
240,Juventude,5,3,Coritiba,21,2002,Oct 20,3,0," [Índio 6', Edmílson 19', Cláudio Pitbull 38', 49', Itaqui 66'; Da Silva 21', Lúcio Flávio 62'p, 64'p]"
241,Corinthians,2,2,Palmeiras,22,2002,Oct 23,1,1," [Gil 6', Rogério Régis 70'p; Itamar 18', Javier Arce 61'p]"
